SecurityPersonID,AreaID,ShiftID
484100594,277,132
918307937,191,181
353948297,357,247
613763527,370,293
576726703,272,396
362364616,232,357
477767258,83,14
841015960,280,151
333807921,155,47
936286682,211,148
870724858,115,224
542569338,203,282
172308402,397,17
818686714,14,176
584507905,346,164
402732116,34,369
203156001,180,248
603638893,250,187
598623657,124,390
678285373,29,283
644422920,88,10
415074012,295,108
346671124,152,316
645751546,176,207
402732116,233,91
650351556,230,351
891752573,155,12
328527174,184,291
584131648,144,302
368479317,148,140
217392997,84,239
126766993,54,64
644422920,265,264
599438968,270,39
278391591,195,329
400202139,276,148
741913314,284,24
484100594,215,103
876376489,98,347
319905191,131,243
235714892,125,201
678497265,340,141
564489506,100,153
614540730,107,32
999272059,112,241
564489506,157,289
368479317,58,387
786816816,82,92
977278935,153,385
282452340,310,177
644422920,334,272
613763527,49,349
952878796,58,16
970265721,109,97
659375970,107,115
158608475,262,174
878489732,30,64
358556040,318,229
878489732,109,120
564489506,160,126
747924810,178,253
557826601,391,196
667649847,122,61
727033420,394,124
385993825,120,189
364916253,365,125
298218807,54,239
573770129,242,124
845771028,13,340
650351556,37,199
368479317,393,347
203156001,100,41
294788310,269,14
818686714,188,97
395665492,334,206
839508873,78,291
619976654,349,245
126766993,94,139
402732116,256,107
122352403,42,312
977278935,5,355
649108145,96,161
142208759,169,240
361407428,154,329
925424878,177,39
709262566,8,38
454644331,334,299
652649489,286,303
982619310,37,245
223107124,122,146
744783280,13,292
678497265,298,347
282452340,268,281
650351556,285,128
644422920,204,270
117301284,341,320
277907133,126,236
650351556,274,287
941025816,283,266
303712976,323,234
667649847,75,72
306887998,331,317
878489732,215,377
741913314,64,26
582761315,156,356
364916253,399,242
644422920,184,142
741913314,48,292
378639005,249,363
841015960,33,217
217214616,274,122
185695679,60,59
619976654,346,139
122352403,85,214
328527174,207,386
484100594,81,270
574606527,67,225
587243834,148,73
937969978,234,209
735478217,79,332
576726703,349,180
887499774,95,256
354272848,108,191
774292628,174,352
644422920,246,249
819123561,22,374
613763527,354,241
741913314,360,32
644422920,362,249
481948944,252,159
941025816,137,73
359065015,260,37
223107124,359,297
649836923,314,349
982619310,167,165
999272059,276,338
644422920,345,25
368479317,383,318
116178982,296,57
977838897,63,221
158608475,398,178
650351556,151,271
277907133,269,301
649108145,271,162
644422920,39,223
276046102,346,123
484100594,347,323
892752035,246,172
295418556,321,269
876376489,308,64
385993825,155,155
484100594,359,203
203156001,222,385
644422920,296,93
599438968,70,200
400202139,164,261
385993825,177,272
328527174,371,100
978636166,389,383
958117510,99,68
583582922,135,176
385993825,119,49
741913314,138,380
599438968,61,226
323682291,233,100
957859267,288,335
238329839,147,82
584507905,122,324
841691969,381,350
332008288,189,68
860018814,226,384
999272059,54,69
804478513,68,387
704967638,187,32
649108145,267,192
937969978,198,3
368479317,277,208
671794011,244,336
696015240,132,346
402732116,197,359
825955328,130,263
841691969,33,44
781670536,235,180
841015960,67,298
859977462,361,108
774514731,213,373
878489732,117,158
526751265,257,256
501479555,235,83
735478217,172,256
525461861,260,154
665517495,69,86
650351556,287,276
657853554,386,31
368479317,204,146
614540730,283,264
897788482,25,82
982619310,311,252
484100594,72,348
644422920,285,284
715803057,173,138
819123561,379,277
716709282,129,386
223107124,215,164
216059858,80,238
172308402,281,148
650351556,71,128
976649594,362,332
774292628,327,229
957859267,26,121
937969978,359,306
223107124,182,236
697577040,4,220
203156001,241,281
293364645,212,115
753817871,37,292
613763527,349,161
644422920,300,128
368479317,100,222
789368864,85,314
977278935,119,182
644422920,252,323
774292628,52,161
744783280,384,243
735478217,131,121
409277460,63,66
841691969,191,291
709262566,4,194
501479555,11,227
657853554,71,274
937969978,47,294
342825161,389,196
185695679,66,47
957859267,189,322
650351556,204,304
306887998,10,48
650351556,43,249
958117510,252,12
385993825,79,290
735478217,182,161
656819752,268,261
378921525,362,341
722942691,346,230
645751546,160,232
490723387,239,218
956061485,228,279
277907133,226,304
644422920,69,133
667649847,156,214
402732116,399,391
504422030,109,174
613763527,15,173
217214616,104,347
678065388,83,149
571479027,271,112
172308402,163,87
682788464,126,178
613763527,236,52
217214616,162,175
716709282,269,243
649108145,357,317
878489732,226,43
306156944,245,225
878489732,95,116
484100594,313,103
650351556,208,371
584507905,81,363
576726703,384,89
223107124,215,218
941025816,99,56
614540730,344,211
402732116,300,386
999072598,60,334
385993825,62,193
584507905,29,194
650351556,2,128
501479555,98,238
753817871,1,196
328527174,141,167
774292628,236,336
306156944,300,250
172308402,240,58
657853554,353,392
303712976,290,313
655921495,269,70
753817871,378,283
657853554,272,171
692792300,224,47
576726703,78,89
599256224,203,380
619976654,37,336
878489732,127,295
614540730,107,18
931108303,195,311
293364645,199,234
319387051,3,248
657853554,107,207
354272848,57,35
204574187,64,119
245022088,361,377
241853531,278,111
878489732,130,179
564489506,170,337
735478217,378,228
491480780,321,295
970265721,272,100
203156001,1,317
564489506,309,45
217214616,99,186
