FlightDestination,FlightSource,Departure,Landing,SecurityPersonID
Tokyo,Rome,02/28/2023 23:15:00,03/01/2023 09:15,139156991
New York,Dubai,11/30/2023 18:30:00,11/30/2023 23:30:00,938787370
New York,Madrid,11/09/2022 10:15,11/09/2022 20:15,839805720
Tokyo,Athens,12/31/2022 11:45:00,12/31/2022 16:45:00,299112453
Tokyo,Madrid,05/15/2020 18:30:00,05/16/2020 06:30:00,878489732
Tokyo,Dubai,02/28/2020 04:30:00,02/28/2020 16:30:00,930456301
New York,Tel Aviv,09/06/2020 15:45,09/06/2020 21:45,216059858
London,Rome,02/04/2023 05:30,02/04/2023 13:30,667677004
Tokyo,Dubai,08/27/2022 03:00:00,08/27/2022 06:00:00,351764977
Tokyo,Rome,07/08/2020 17:45,07/09/2020 04:45,409277460
New York,Dubai,10/26/2022 06:45:00,10/26/2022 10:45:00,203156001
Paris,Tel Aviv,11/07/2022 01:15,11/07/2022 09:15,839508873
London,Athens,06/30/2023 06:00:00,06/30/2023 15:00:00,568176456
New York,Madrid,03/22/2020 14:00:00,03/22/2020 17:00:00,930456301
London,Rome,09/26/2022 13:00:00,09/26/2022 21:00:00,860018814
Tokyo,Dubai,08/31/2020 10:30:00,08/31/2020 20:30:00,599256224
Tokyo,Athens,02/12/2024 08:45,02/12/2024 13:45,197486361
Berlin,Athens,12/31/2024 09:15:00,12/31/2024 21:15:00,578317966
Berlin,Athens,06/16/2020 14:15:00,06/16/2020 22:15:00,599256224
Paris,Athens,11/14/2021 07:45:00,11/14/2021 13:45:00,602407236
New York,Dubai,06/07/2024 04:30,06/07/2024 09:30,303712976
Tokyo,Rome,08/17/2024 00:45:00,08/17/2024 08:45:00,362364616
London,Madrid,08/09/2022 21:45,08/10/2022 00:45,130234338
New York,Madrid,05/21/2023 08:00:00,05/21/2023 11:00:00,373287258
Berlin,Madrid,10/02/2023 10:45,10/02/2023 20:45,122352403
New York,Dubai,10/18/2020 11:30:00,10/18/2020 19:30:00,187394579
London,Dubai,08/03/2022 23:30,08/04/2022 09:30,560156074
Tokyo,Madrid,09/06/2021 16:45,09/07/2021 04:45,161815773
Berlin,Athens,12/25/2021 21:15:00,12/26/2021 09:15:00,744783280
Paris,Rome,01/09/2022 05:00,01/09/2022 08:00,576308969
Paris,Madrid,12/19/2024 10:30:00,12/19/2024 17:30:00,789368864
Tokyo,Madrid,01/16/2020 14:15:00,01/16/2020 23:15:00,644422920
Tokyo,Tel Aviv,03/22/2022 11:00:00,03/22/2022 21:00:00,847617704
Paris,Rome,12/04/2020 05:30,12/04/2020 12:30,432454980
Tokyo,Rome,08/24/2020 17:00:00,08/24/2020 22:00:00,877622381
New York,Tel Aviv,12/28/2022 23:30:00,12/29/2022 02:30:00,276046102
Berlin,Madrid,01/12/2020 17:15,01/13/2020 04:15:00,644422920
New York,Dubai,12/12/2024 11:00,12/12/2024 22:00,523774700
Tokyo,Athens,01/02/2024 03:30,01/02/2024 07:30,649108145
Paris,Rome,08/25/2022 22:30:00,08/26/2022 01:30:00,504422030
Tokyo,Madrid,12/08/2024 06:45,12/08/2024 10:45,931108303
Tokyo,Athens,01/29/2020 15:00:00,01/29/2020 22:00:00,930456301
Paris,Tel Aviv,01/11/2022 14:30,01/11/2022 21:30,901707052
London,Dubai,10/24/2023 07:00:00,10/24/2023 16:00:00,897788482
New York,Rome,02/23/2023 20:15:00,02/24/2023 08:15:00,693797014
London,Madrid,02/24/2023 01:15:00,02/24/2023 03:15:00,982619310
Berlin,Dubai,07/29/2022 17:30:00,07/29/2022 21:30:00,172308402
Tokyo,Tel Aviv,08/13/2021 15:30:00,08/13/2021 23:30:00,484100594
Tokyo,Madrid,07/02/2021 15:30,07/02/2021 23:30,277907133
London,Dubai,03/25/2023 08:30:00,03/25/2023 15:30:00,897788482
Berlin,Dubai,08/04/2021 17:15,08/05/2021 00:15,958117510
London,Athens,10/08/2022 15:15,10/08/2022 21:15,659375970
London,Dubai,12/13/2024 00:00:00,12/13/2024 06:00:00,240790341
New York,Rome,07/26/2023 04:45:00,07/26/2023 10:45:00,678497265
Paris,Athens,12/09/2021 17:00,12/10/2021 03:00,741913314
Paris,Dubai,04/24/2023 17:15:00,04/25/2023 03:15:00,986546876
Paris,Athens,05/13/2023 14:30:00,05/13/2023 20:30:00,956850616
Tokyo,Athens,03/19/2020 13:15:00,03/19/2020 17:15:00,930456301
Tokyo,Dubai,01/19/2021 09:45:00,01/19/2021 11:45:00,501479555
London,Rome,02/09/2024 17:30,02/10/2024 05:30,353948297
Paris,Madrid,02/01/2021 22:00,02/02/2021 00:00,571479027
Berlin,Madrid,10/30/2020 15:45:00,10/30/2020 23:45:00,878489732
Berlin,Athens,02/06/2023 08:00,02/06/2023 10:00,212643993
Berlin,Rome,07/05/2022 08:30,07/05/2022 16:30,226527626
London,Madrid,04/04/2022 21:45,04/05/2022 09:45,644422920
Paris,Rome,04/25/2020 05:00:00,04/25/2020 15:00:00,877622381
Paris,Tel Aviv,01/28/2021 09:30:00,01/28/2021 14:30:00,161815773
Paris,Madrid,09/24/2020 20:00:00,09/25/2020 01:00:00,887499774
Paris,Madrid,02/25/2024 08:30:00,02/25/2024 17:30:00,877622381
London,Rome,02/14/2022 16:30:00,02/15/2022 03:30:00,484100594
Tokyo,Athens,04/21/2023 16:00:00,04/21/2023 20:00:00,730730552
Paris,Rome,07/27/2024 05:45:00,07/27/2024 16:45:00,362731402
Paris,Madrid,03/29/2021 17:45:00,03/30/2021 02:45:00,599256224
Paris,Athens,02/09/2024 03:00,02/09/2024 15:00,597890623
New York,Rome,11/15/2020 07:15:00,11/15/2020 09:15:00,878489732
London,Tel Aviv,04/03/2024 03:00,04/03/2024 09:00,619976654
London,Dubai,05/15/2021 22:45:00,05/16/2021 03:45:00,616681977
Tokyo,Dubai,05/20/2022 16:15:00,05/20/2022 22:15:00,358556040
New York,Madrid,01/30/2020 13:30:00,01/30/2020 18:30:00,644422920
Tokyo,Dubai,06/04/2020 03:45,06/04/2020 14:45,560156074
New York,Athens,12/07/2023 20:15,12/08/2023 01:15,941025816
London,Dubai,08/19/2020 08:00:00,08/19/2020 11:00:00,945942516
Berlin,Madrid,02/14/2020 02:00:00,02/14/2020 07:00:00,158608475
London,Madrid,04/19/2023 14:45:00,04/19/2023 19:45:00,578317966
New York,Athens,12/20/2023 13:45:00,12/20/2023 20:45:00,584507905
Berlin,Madrid,10/09/2022 08:30,10/09/2022 14:30,627407308
Paris,Madrid,12/24/2020 08:30:00,12/24/2020 10:30:00,432454980
Berlin,Athens,12/13/2022 22:15:00,12/14/2022 03:15:00,639228756
London,Dubai,04/02/2024 18:00,04/03/2024 06:00,274499861
Berlin,Athens,08/03/2024 23:45,08/04/2024 01:45,961760964
Berlin,Dubai,09/27/2022 08:00:00,09/27/2022 15:00:00,490723387
Berlin,Dubai,07/03/2024 10:00,07/03/2024 21:00,133066265
New York,Athens,10/16/2021 22:00:00,10/17/2021 02:00:00,958117510
Paris,Rome,01/11/2023 12:30,01/12/2023 00:30,373287258
Berlin,Athens,06/14/2024 03:00:00,06/14/2024 08:00:00,243311512
Berlin,Tel Aviv,04/16/2020 08:15:00,04/16/2020 15:15:00,560156074
Berlin,Athens,08/21/2020 23:45:00,08/22/2020 01:45:00,524501471
Berlin,Tel Aviv,05/07/2021 12:30,05/07/2021 18:30,847617704
London,Madrid,01/18/2020 04:30:00,01/18/2020 16:30:00,644422920
Paris,Tel Aviv,07/10/2020 17:00,07/11/2020 00:00,650351556
Tokyo,Madrid,09/05/2024 16:30,09/05/2024 22:30,362731402
Tokyo,Dubai,06/18/2022 14:30:00,06/18/2022 21:30:00,139156991
Paris,Dubai,04/09/2024 22:00,04/10/2024 05:00,704967638
Tokyo,Rome,02/18/2023 00:30:00,02/18/2023 05:30:00,307972620
Tokyo,Rome,12/27/2020 11:15:00,12/27/2020 23:15:00,282452340
Paris,Tel Aviv,07/17/2023 13:00:00,07/17/2023 20:00:00,535065682
Paris,Madrid,03/20/2020 07:15:00,03/20/2020 11:15:00,484100594
Berlin,Rome,12/22/2020 23:00:00,12/23/2020 11:00:00,192998447
Paris,Dubai,11/02/2023 23:00,11/03/2023 08:00,742227229
Berlin,Rome,11/03/2021 03:45,11/03/2021 12:45,126766993
Berlin,Madrid,06/01/2022 12:30,06/01/2022 18:30,363036588
Berlin,Madrid,06/13/2023 21:30:00,06/14/2023 03:30:00,860018814
London,Dubai,03/25/2021 00:15:00,03/25/2021 09:15:00,952878796
Paris,Dubai,02/21/2022 14:45:00,02/21/2022 18:45:00,203156001
New York,Rome,06/15/2024 06:15:00,06/15/2024 14:15:00,158608475
Berlin,Madrid,04/13/2024 09:00:00,04/13/2024 17:00:00,363036588
Paris,Athens,11/04/2020 17:15,11/05/2020 05:15,649108145
Tokyo,Athens,02/11/2022 21:00,02/12/2022 04:00,943023224
New York,Tel Aviv,07/05/2024 01:15,07/05/2024 03:15,697577040
New York,Dubai,05/01/2020 19:30,05/01/2020 22:30,299112453
London,Tel Aviv,01/11/2022 09:30,01/11/2022 20:30,616681977
Berlin,Tel Aviv,09/24/2021 05:45:00,09/24/2021 16:45:00,501479555
Paris,Dubai,06/06/2024 02:45,06/06/2024 13:45,560156074
London,Madrid,04/14/2023 08:15:00,04/14/2023 14:15:00,584507905
London,Madrid,03/20/2020 14:00:00,03/21/2020 02:00:00,789368864
New York,Tel Aviv,06/27/2024 19:30:00,06/27/2024 22:30:00,208300908
Paris,Madrid,03/06/2024 09:45,03/06/2024 19:45,818686714
New York,Dubai,03/26/2023 00:30:00,03/26/2023 08:30:00,289916184
London,Madrid,05/13/2020 22:45:00,05/14/2020 10:45:00,277907133
New York,Athens,02/26/2021 15:00:00,02/27/2021 01:00:00,616681977
Tokyo,Rome,04/21/2023 05:45:00,04/21/2023 09:45:00,267518817
Berlin,Tel Aviv,05/24/2020 08:30:00,05/24/2020 15:30:00,501479555
Tokyo,Dubai,02/23/2023 11:45:00,02/23/2023 16:45:00,150613179
Tokyo,Dubai,06/08/2021 13:30,06/09/2021 00:30,339646919
Paris,Rome,07/06/2021 22:00,07/07/2021 10:00,999272059
Berlin,Athens,08/06/2023 11:30,08/06/2023 13:30,526751265
Tokyo,Athens,09/12/2020 06:45,09/12/2020 18:45,644422920
New York,Rome,10/06/2022 20:00,10/06/2022 22:00,304525893
London,Athens,04/05/2022 01:00,04/05/2022 08:00,528810734
Berlin,Athens,08/04/2020 06:45,08/04/2020 14:45,150613179
Paris,Athens,03/09/2023 01:30,03/09/2023 07:30,386113053
Berlin,Rome,09/19/2021 00:15:00,09/19/2021 09:15:00,368479317
Paris,Rome,03/25/2021 07:15:00,03/25/2021 11:15:00,930456301
London,Tel Aviv,02/19/2023 23:30:00,02/20/2023 09:30:00,642941132
Tokyo,Rome,04/17/2022 07:00:00,04/17/2022 13:00:00,650351556
Tokyo,Dubai,10/17/2024 04:30:00,10/17/2024 10:30:00,298218807
Berlin,Madrid,05/22/2024 13:45:00,05/22/2024 18:45:00,238329839
London,Athens,02/03/2024 12:30,02/03/2024 23:30,839458907
New York,Madrid,06/29/2022 23:30:00,06/30/2022 11:30:00,767963173
